epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5413.47,1.09996,0.94487,1.49084,0.67732,0.59526,0.63743,0.4207,1.19776,0.90824,1.76192,0.0005941,0.0005941,0.0005941
43,5541.87,1.07903,0.944,1.49765,0.60164,0.6065,0.63611,0.41578,1.19635,1.00486,1.77512,0.0005842,0.0005842,0.0005842
44,5670.33,1.07279,0.92262,1.47929,0.65939,0.58189,0.6436,0.42101,1.19731,1.00253,1.77205,0.0005743,0.0005743,0.0005743
45,5798.74,1.06206,0.926,1.47507,0.69216,0.64867,0.7096,0.44842,1.1688,0.89596,1.73817,0.0005644,0.0005644,0.0005644
46,5927.29,1.0688,0.91039,1.47393,0.72683,0.61883,0.69283,0.44754,1.1835,0.90094,1.73975,0.0005545,0.0005545,0.0005545
47,6055.77,1.05852,0.88082,1.46151,0.71221,0.61905,0.68861,0.44717,1.18541,0.96632,1.73951,0.0005446,0.0005446,0.0005446
48,6184.23,1.07082,0.90157,1.48268,0.72261,0.66669,0.71822,0.46703,1.17749,0.88957,1.74403,0.0005347,0.0005347,0.0005347
49,6312.82,1.0519,0.88588,1.46408,0.71727,0.65905,0.71229,0.46436,1.18566,0.93367,1.71149,0.0005248,0.0005248,0.0005248
50,6441.43,1.05111,0.86691,1.45996,0.77805,0.65224,0.72956,0.46715,1.16154,0.87424,1.72524,0.0005149,0.0005149,0.0005149
51,6570.09,1.04234,0.84608,1.45014,0.81158,0.63896,0.74221,0.46452,1.19264,0.89142,1.73786,0.000505,0.000505,0.000505
52,6698.67,1.03523,0.84444,1.44721,0.79308,0.67436,0.75623,0.47176,1.15826,0.84683,1.72691,0.0004951,0.0004951,0.0004951
53,6827.27,1.03515,0.8553,1.4574,0.7947,0.65084,0.71217,0.45729,1.1878,0.89276,1.75233,0.0004852,0.0004852,0.0004852
54,6955.65,1.02562,0.83019,1.44003,0.78351,0.63009,0.71974,0.4676,1.15744,0.8624,1.72398,0.0004753,0.0004753,0.0004753
55,7084.02,1.03619,0.83852,1.44829,0.74394,0.66583,0.73203,0.46741,1.1526,0.86109,1.71723,0.0004654,0.0004654,0.0004654
56,7212.4,1.00356,0.81786,1.41525,0.77648,0.62717,0.73053,0.46836,1.15428,0.83895,1.71935,0.0004555,0.0004555,0.0004555
57,7340.85,1.01543,0.8098,1.41816,0.77314,0.66055,0.74841,0.48743,1.16884,0.83989,1.70625,0.0004456,0.0004456,0.0004456
58,7469.42,1.00692,0.79225,1.41632,0.7437,0.67711,0.74573,0.4823,1.15658,0.84237,1.70919,0.0004357,0.0004357,0.0004357
59,7597.61,1.01211,0.80416,1.42421,0.7125,0.75096,0.76566,0.49806,1.15765,0.80328,1.70138,0.0004258,0.0004258,0.0004258
60,7726.23,1.01246,0.80357,1.42666,0.81254,0.65022,0.76038,0.4929,1.1613,0.82709,1.71943,0.0004159,0.0004159,0.0004159
61,7854.68,0.99027,0.79208,1.41221,0.70693,0.66325,0.72396,0.46507,1.15091,0.88265,1.71026,0.000406,0.000406,0.000406
62,7983.27,0.9873,0.77406,1.39244,0.81844,0.64275,0.7421,0.47609,1.16686,0.86676,1.70245,0.0003961,0.0003961,0.0003961
63,8111.7,0.98012,0.76011,1.40003,0.76062,0.70594,0.76543,0.49762,1.16199,0.83831,1.72709,0.0003862,0.0003862,0.0003862
64,8240.15,0.96776,0.76235,1.40044,0.79891,0.67043,0.75449,0.49854,1.14216,0.80489,1.72102,0.0003763,0.0003763,0.0003763
65,8368.7,0.95071,0.73976,1.38323,0.81768,0.7052,0.77261,0.49547,1.18664,0.80129,1.74588,0.0003664,0.0003664,0.0003664
66,8497.09,0.96023,0.75527,1.38162,0.77431,0.69957,0.76142,0.48179,1.15905,0.80664,1.70612,0.0003565,0.0003565,0.0003565
67,8625.81,0.96657,0.74004,1.3788,0.79205,0.71943,0.79467,0.51568,1.15155,0.78495,1.69967,0.0003466,0.0003466,0.0003466
68,8754.32,0.96071,0.72912,1.38485,0.80798,0.6914,0.78695,0.5082,1.12629,0.76698,1.6873,0.0003367,0.0003367,0.0003367
69,8882.87,0.95387,0.72033,1.37122,0.80382,0.70785,0.78201,0.50672,1.14837,0.79335,1.70918,0.0003268,0.0003268,0.0003268
70,9011.56,0.94515,0.72214,1.38156,0.77528,0.73048,0.79927,0.51573,1.14483,0.76487,1.71945,0.0003169,0.0003169,0.0003169
71,9140.09,0.9503,0.72439,1.38159,0.79542,0.70802,0.79148,0.51593,1.14575,0.77625,1.71844,0.000307,0.000307,0.000307
72,9268.57,0.95902,0.71708,1.38627,0.80966,0.73729,0.80766,0.50787,1.15105,0.76358,1.7298,0.0002971,0.0002971,0.0002971
73,9397.08,0.94882,0.70443,1.3736,0.72652,0.75882,0.7798,0.50807,1.16221,0.76983,1.74134,0.0002872,0.0002872,0.0002872
74,9525.64,0.93383,0.69295,1.36415,0.82843,0.70852,0.78606,0.50814,1.14994,0.75412,1.71796,0.0002773,0.0002773,0.0002773
75,9654.11,0.91123,0.67471,1.34564,0.76899,0.76236,0.80814,0.52339,1.14036,0.75116,1.69565,0.0002674,0.0002674,0.0002674
76,9782.62,0.92812,0.69405,1.35466,0.81854,0.7181,0.80063,0.50618,1.15566,0.7531,1.70947,0.0002575,0.0002575,0.0002575
77,9910.98,0.91754,0.68238,1.34758,0.80383,0.72585,0.79334,0.50996,1.15185,0.74821,1.71757,0.0002476,0.0002476,0.0002476
78,10039.6,0.92115,0.68137,1.34892,0.80849,0.72751,0.80806,0.51448,1.14652,0.73392,1.71694,0.0002377,0.0002377,0.0002377
79,10168,0.89899,0.66137,1.33623,0.82881,0.72935,0.80039,0.51818,1.15149,0.73365,1.72668,0.0002278,0.0002278,0.0002278
80,10296.4,0.90124,0.66448,1.34787,0.79907,0.74463,0.80158,0.51633,1.14887,0.72321,1.72029,0.0002179,0.0002179,0.0002179
81,10424.9,0.89499,0.64356,1.33009,0.78495,0.75948,0.80965,0.52792,1.14213,0.72926,1.72093,0.000208,0.000208,0.000208
82,10553.4,0.90291,0.6589,1.33533,0.83073,0.76367,0.81333,0.52226,1.14519,0.72784,1.71735,0.0001981,0.0001981,0.0001981
83,10681.7,0.88491,0.64363,1.32298,0.79591,0.76219,0.8141,0.5282,1.13677,0.7227,1.71671,0.0001882,0.0001882,0.0001882
84,10810.2,0.88015,0.63598,1.3254,0.84474,0.71718,0.82034,0.52797,1.13917,0.71878,1.71811,0.0001783,0.0001783,0.0001783
85,10938.8,0.87754,0.62864,1.32035,0.84507,0.72078,0.81057,0.53056,1.1461,0.69609,1.72755,0.0001684,0.0001684,0.0001684
86,11067.2,0.88025,0.62961,1.32895,0.81232,0.75816,0.81246,0.52832,1.14585,0.69774,1.7238,0.0001585,0.0001585,0.0001585
87,11195.8,0.86996,0.62614,1.31972,0.81925,0.75322,0.82796,0.53202,1.14137,0.6948,1.72653,0.0001486,0.0001486,0.0001486
88,11324.5,0.8719,0.62834,1.31355,0.82494,0.77541,0.83103,0.53737,1.13126,0.67784,1.73038,0.0001387,0.0001387,0.0001387
89,11452.8,0.85997,0.6151,1.31309,0.84148,0.76972,0.84054,0.54072,1.1393,0.70148,1.73981,0.0001288,0.0001288,0.0001288
90,11581.3,0.86842,0.62606,1.31756,0.83133,0.774,0.84115,0.54084,1.14581,0.70007,1.74098,0.0001189,0.0001189,0.0001189
91,11710.8,0.8043,0.48573,1.3168,0.81005,0.76663,0.8366,0.52613,1.14084,0.69309,1.75034,0.000109,0.000109,0.000109
92,11838.8,0.79014,0.45641,1.29959,0.82082,0.75367,0.82022,0.52405,1.13839,0.70411,1.7523,9.91e-05,9.91e-05,9.91e-05
93,11966.8,0.77841,0.44586,1.2873,0.87157,0.74849,0.82758,0.53214,1.1352,0.69033,1.73726,8.92e-05,8.92e-05,8.92e-05
94,12094.8,0.77168,0.43911,1.2796,0.86017,0.76306,0.82562,0.53164,1.13703,0.69468,1.73862,7.93e-05,7.93e-05,7.93e-05
95,12222.7,0.76052,0.43103,1.27218,0.86984,0.75165,0.83836,0.54034,1.13224,0.67255,1.74403,6.94e-05,6.94e-05,6.94e-05
96,12350.5,0.75997,0.42689,1.27278,0.84364,0.77341,0.84101,0.54251,1.13809,0.67993,1.75288,5.95e-05,5.95e-05,5.95e-05
97,12478.7,0.74885,0.42029,1.26432,0.8221,0.7892,0.84436,0.53935,1.13693,0.67991,1.75296,4.96e-05,4.96e-05,4.96e-05
98,12606.7,0.75133,0.42041,1.25998,0.85786,0.76948,0.84798,0.54036,1.13492,0.68819,1.75084,3.97e-05,3.97e-05,3.97e-05
99,12734.6,0.74402,0.41483,1.25803,0.84784,0.78724,0.84941,0.53685,1.13474,0.67981,1.75503,2.98e-05,2.98e-05,2.98e-05
100,12862.3,0.74771,0.41713,1.26337,0.84389,0.78686,0.84928,0.53896,1.13287,0.67461,1.75448,1.99e-05,1.99e-05,1.99e-05
